Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~WASP_EZ.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\WASP_EZ\WASP_EZ.PrjPCB|ReportField=Title~Bill of Materials For Project [WASP_EZ.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~8:35:29 PM|ReportField=ReportDate~4/7/2019|ReportField=ReportDateTime~4/7/2019 8:35:29 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~85|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~NSW|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~4/7/2019|ReportField=CurrentTime~8:35:12 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\WASP_EZ\Accelerometer -ADXL1004.SchDoc|ReportField=DocumentName~Accelerometer -ADXL1004.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~4/5/2019|ReportField=Organization~|ReportField=ProjectName~WASP_EZ.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Accelerometer: ADXL1004|ReportField=DataSourceFileName~WASP_EZ.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\WASP_EZ\WASP_EZ.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|CAP 10uF 6.3V 0603(1608)|CAP 10uF 6.3V ±20% 0603 (1608 Metric) Thickness 1mm SMD|C1, C2, C5, C6, C7, C8, C9, C10, C16, C19, C20, C21|CAPC0603(1608)100_N|CMP-1035-02797-1|12
2|CAP 100nF 6.3V 0402(1005)|CAP 100nF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C3, C15, C17, C18, C28, C29, C35|CAPC0402(1005)60_N|CMP-1034-02061-1|7
3|0.1uF|CAP CER 0.1UF 6.3V X7R 0402|C4, C24, C25|CAP 0402/1005|GRM155R70J104KA01D|3
4|100nF|CAP 100nF 25V ±20% 0603 (1608 Metric) Thickness 1mm SMD|C11, C23, C26, C27|CAPC0603(1608)100_N|CMP-1035-02589-1|4
5|C1608X7R1H103K080AA|Multilayer Ceramic Chip Capacitor, 0.01 uF, +/- 10%, 50 V, -55 to 125 degC, 2-Pin SMD (C1608), RoHS, Tape and Reel|C12|TDK-C1608-2_H0.9_V|CMP-2000-06026-1|1
6|CAP 1uF 10V 0402(1005)|CAP 1uF 10V -20% to +80% 0402 (1005 Metric) Thickness 0.6mm SMD|C14, C31|CAPC0402(1005)60_N|CMP-1034-02118-1|2
7|CAP 2.2uF 6.3V 0402(1005)|CAP 2.2uF 6.3V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD|C22, C36, C37|CAPC0402(1005)60_L|CMP-1034-02126-1|3
8|APG1608CGKC/T|LED, SMT, 0603(1608), 0.25mm Thickness, Green|DS1|KING-LED0603-25-GREEN_V|CMP-0239-00001-1|1
9|APG1608SURKC/T|Ultra Thin Hyper Red SMD Chip LED Lamp, 2 to 2.5 V, -40 to 85 degC, Body 1.6 x 0.8 mm, 0.28 mm Thickness, RoHS, Tape and Reel|DS2|KING-LED0603-25-RED_V|CMP-0404-00004-1|1
10|XFL4020-102MEC|Shielded Power Inductor, 1 uH, 64 MHz, -40 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel|L1|COIL-XFL4020_V|CMP-2000-07423-1|1
11|Imp005 easyModule|Module, Imp005 with antenna, .05" pitch, 56+6pin, SMD|M1|IMP005_EASYMODULE||1
